RowId ImageId FeatureName Location
1 1 left_eye_center_x 66.59264151
2 1 left_eye_center_y 37.573915
3 1 right_eye_center_x 30.33331075
4 1 right_eye_center_y 35.87455942
5 1 left_eye_inner_corner_x 60.50836972
6 1 left_eye_inner_corner_y 38.35700206
7 1 left_eye_outer_corner_x 73.0662802
8 1 left_eye_outer_corner_y 38.29137244
9 1 right_eye_inner_corner_x 36.62863044
10 1 right_eye_inner_corner_y 37.17010319
11 1 right_eye_outer_corner_x 23.87790896
12 1 right_eye_outer_corner_y 36.07859541
13 1 left_eyebrow_inner_end_x 57.53154247
14 1 left_eyebrow_inner_end_y 29.07392907
15 1 left_eyebrow_outer_end_x 78.61485735
16 1 left_eyebrow_outer_end_y 30.07340625
17 1 right_eyebrow_inner_end_x 39.84355402
18 1 right_eyebrow_inner_end_y 29.05807061
19 1 right_eyebrow_outer_end_x 18.10009876
20 1 right_eyebrow_outer_end_y 28.19462368
21 1 nose_tip_x 49.40309695
22 1 nose_tip_y 55.7231697
23 1 mouth_left_corner_x 61.57826373
24 1 mouth_left_corner_y 76.33769655
25 1 mouth_right_corner_x 33.01852391
26 1 mouth_right_corner_y 75.40739155
27 1 mouth_center_top_lip_x 47.79384659
28 1 mouth_center_top_lip_y 69.55372836
29 1 mouth_center_bottom_lip_x 47.31193789
30 1 mouth_center_bottom_lip_y 81.69781863
31 2 left_eye_center_x 66.595104
32 2 left_eye_center_y 36.44194858
33 2 right_eye_center_x 30.04665186
34 2 right_eye_center_y 36.05339185
35 2 left_eye_inner_corner_x 60.39180818
36 2 left_eye_inner_corner_y 37.74576674
37 2 left_eye_outer_corner_x 73.79050559
38 2 left_eye_outer_corner_y 37.88137052
39 2 right_eye_inner_corner_x 36.33279001
40 2 right_eye_inner_corner_y 36.82437511
41 2 right_eye_outer_corner_x 23.92182011
42 2 right_eye_outer_corner_y 36.0885669
43 2 left_eyebrow_inner_end_x 57.71541983
44 2 left_eyebrow_inner_end_y 28.75475094
45 2 left_eyebrow_outer_end_x 79.10818131
46 2 left_eyebrow_outer_end_y 28.58720635
47 2 right_eyebrow_inner_end_x 37.85114124
48 2 right_eyebrow_inner_end_y 28.87397761
49 2 right_eyebrow_outer_end_x 18.0352302
50 2 right_eyebrow_outer_end_y 27.90623688
51 2 nose_tip_x 47.71768722
52 2 nose_tip_y 57.64902954
53 2 mouth_left_corner_x 61.57451911
54 2 mouth_left_corner_y 76.99268874
55 2 mouth_right_corner_x 32.85583595
56 2 mouth_right_corner_y 75.67815524
57 2 mouth_center_top_lip_x 47.41252576
58 2 mouth_center_top_lip_y 70.20858846
59 2 mouth_center_bottom_lip_x 47.0555888
60 2 mouth_center_bottom_lip_y 82.33953226
61 3 left_eye_center_x 65.5967512
62 3 left_eye_center_y 37.95748139
63 3 right_eye_center_x 30.36621076
64 3 right_eye_center_y 35.94060988
65 3 left_eye_inner_corner_x 60.31867685
66 3 left_eye_inner_corner_y 38.76633965
67 3 left_eye_outer_corner_x 72.70773151
68 3 left_eye_outer_corner_y 38.60340453
69 3 right_eye_inner_corner_x 36.46429917
70 3 right_eye_inner_corner_y 36.98687041
71 3 right_eye_outer_corner_x 24.01885036
72 3 right_eye_outer_corner_y 36.0369063
73 3 left_eyebrow_inner_end_x 58.12416066
74 3 left_eyebrow_inner_end_y 28.67113362
75 3 left_eyebrow_outer_end_x 78.25254629
76 3 left_eyebrow_outer_end_y 30.38618048
77 3 right_eyebrow_inner_end_x 40.96575039
78 3 right_eyebrow_inner_end_y 28.42709582
79 3 right_eyebrow_outer_end_x 18.64944728
80 3 right_eyebrow_outer_end_y 28.12562268
81 3 nose_tip_x 49.05342613
82 3 nose_tip_y 55.32981713
83 3 mouth_left_corner_x 61.27670667
84 3 mouth_left_corner_y 75.99701613
85 3 mouth_right_corner_x 33.25559038
86 3 mouth_right_corner_y 75.47458479
87 3 mouth_center_top_lip_x 47.68421334
88 3 mouth_center_top_lip_y 68.86842044
89 3 mouth_center_bottom_lip_x 47.18073013
90 3 mouth_center_bottom_lip_y 81.25437792
91 4 left_eye_center_x 65.68542999
92 4 left_eye_center_y 37.9724133
93 4 right_eye_center_x 29.30320715
94 4 right_eye_center_y 39.19688378
95 4 left_eye_inner_corner_x 58.64338442
96 4 left_eye_inner_corner_y 39.31227225
97 4 left_eye_outer_corner_x 74.09362269
98 4 left_eye_outer_corner_y 39.16810487
99 4 right_eye_inner_corner_x 36.66363781
100 4 right_eye_inner_corner_y 40.24047496
101 4 right_eye_outer_corner_x 21.97736218
102 4 right_eye_outer_corner_y 40.09432396
103 4 left_eyebrow_inner_end_x 57.16627443
104 4 left_eyebrow_inner_end_y 29.78275575
105 4 left_eyebrow_outer_end_x 80.58328611
106 4 left_eyebrow_outer_end_y 31.47798582
107 4 right_eyebrow_inner_end_x 37.70489281
108 4 right_eyebrow_inner_end_y 29.24665421
109 4 right_eyebrow_outer_end_x 16.83904274
110 4 right_eyebrow_outer_end_y 32.71869439
111 4 nose_tip_x 49.5370615
112 4 nose_tip_y 54.64037484
113 4 mouth_left_corner_x 64.58026574
114 4 mouth_left_corner_y 75.87862102
115 4 mouth_right_corner_x 33.23696085
116 4 mouth_right_corner_y 76.78267462
117 4 mouth_center_top_lip_x 49.35337785
118 4 mouth_center_top_lip_y 70.98745165
119 4 mouth_center_bottom_lip_x 49.55650801
120 4 mouth_center_bottom_lip_y 81.54339899
121 5 left_eye_center_x 66.75527182
122 5 left_eye_center_y 36.78303416
123 5 right_eye_center_x 30.18705679
124 5 right_eye_center_y 35.80284378
125 5 left_eye_inner_corner_x 60.73933686
126 5 left_eye_inner_corner_y 37.5601822
127 5 left_eye_outer_corner_x 73.1733412
128 5 left_eye_outer_corner_y 38.33429773
129 5 right_eye_inner_corner_x 36.3531955
130 5 right_eye_inner_corner_y 36.81015099
131 5 right_eye_outer_corner_x 24.05114371
132 5 right_eye_outer_corner_y 35.79142934
133 5 left_eyebrow_inner_end_x 58.05731698
134 5 left_eyebrow_inner_end_y 28.68659749
135 5 left_eyebrow_outer_end_x 78.65489576
136 5 left_eyebrow_outer_end_y 29.31781612
137 5 right_eyebrow_inner_end_x 39.20119192
138 5 right_eyebrow_inner_end_y 28.36206014
139 5 right_eyebrow_outer_end_x 18.20993824
140 5 right_eyebrow_outer_end_y 27.86626072
141 5 nose_tip_x 48.635341
142 5 nose_tip_y 55.49636059
143 5 mouth_left_corner_x 61.21233033
144 5 mouth_left_corner_y 76.93290247
145 5 mouth_right_corner_x 33.06016302
146 5 mouth_right_corner_y 75.27819086
147 5 mouth_center_top_lip_x 47.45295258
148 5 mouth_center_top_lip_y 68.86611402
149 5 mouth_center_bottom_lip_x 46.95871075
150 5 mouth_center_bottom_lip_y 82.18334928
151 6 left_eye_center_x 65.50944052
152 6 left_eye_center_y 37.88695255
153 6 right_eye_center_x 29.31859175
154 6 right_eye_center_y 38.96374136
155 6 left_eye_inner_corner_x 58.52922128
156 6 left_eye_inner_corner_y 39.29455633
157 6 left_eye_outer_corner_x 74.57742567
158 6 left_eye_outer_corner_y 38.95212646
159 6 right_eye_inner_corner_x 37.13295604
160 6 right_eye_inner_corner_y 40.05318494
