"RowId"	"ImageId"	"FeatureName"	"Location"
"1"	21	1	"nose_tip_x"	50
"2"	22	1	"nose_tip_y"	59
"3"	51	2	"nose_tip_x"	51
"4"	52	2	"nose_tip_y"	65
"5"	81	3	"nose_tip_x"	45
"6"	82	3	"nose_tip_y"	63
"7"	111	4	"nose_tip_x"	48
"8"	112	4	"nose_tip_y"	59
"9"	141	5	"nose_tip_x"	49
"10"	142	5	"nose_tip_y"	60
"11"	171	6	"nose_tip_x"	48
"12"	172	6	"nose_tip_y"	59
"13"	201	7	"nose_tip_x"	45
"14"	202	7	"nose_tip_y"	61
"15"	231	8	"nose_tip_x"	45
"16"	232	8	"nose_tip_y"	61
"17"	261	9	"nose_tip_x"	48
"18"	262	9	"nose_tip_y"	64
"19"	291	10	"nose_tip_x"	50
"20"	292	10	"nose_tip_y"	62
"21"	321	11	"nose_tip_x"	49
"22"	322	11	"nose_tip_y"	61
"23"	351	12	"nose_tip_x"	45
"24"	352	12	"nose_tip_y"	59
"25"	381	13	"nose_tip_x"	51
"26"	382	13	"nose_tip_y"	65
"27"	411	14	"nose_tip_x"	49
"28"	412	14	"nose_tip_y"	65
"29"	441	15	"nose_tip_x"	47
"30"	442	15	"nose_tip_y"	65
"31"	471	16	"nose_tip_x"	47
"32"	472	16	"nose_tip_y"	65
"33"	501	17	"nose_tip_x"	49
"34"	502	17	"nose_tip_y"	65
"35"	531	18	"nose_tip_x"	48
"36"	532	18	"nose_tip_y"	65
"37"	561	19	"nose_tip_x"	45
"38"	562	19	"nose_tip_y"	62
"39"	591	20	"nose_tip_x"	49
"40"	592	20	"nose_tip_y"	59
"41"	621	21	"nose_tip_x"	45
"42"	622	21	"nose_tip_y"	65
"43"	651	22	"nose_tip_x"	48
"44"	652	22	"nose_tip_y"	65
"45"	681	23	"nose_tip_x"	49
"46"	682	23	"nose_tip_y"	59
"47"	711	24	"nose_tip_x"	45
"48"	712	24	"nose_tip_y"	65
"49"	741	25	"nose_tip_x"	49
"50"	742	25	"nose_tip_y"	64
"51"	771	26	"nose_tip_x"	49
"52"	772	26	"nose_tip_y"	62
"53"	801	27	"nose_tip_x"	47
"54"	802	27	"nose_tip_y"	64
"55"	831	28	"nose_tip_x"	48
"56"	832	28	"nose_tip_y"	59
"57"	861	29	"nose_tip_x"	48
"58"	862	29	"nose_tip_y"	65
"59"	891	30	"nose_tip_x"	47
"60"	892	30	"nose_tip_y"	63
"61"	921	31	"nose_tip_x"	49
"62"	922	31	"nose_tip_y"	65
"63"	951	32	"nose_tip_x"	49
"64"	952	32	"nose_tip_y"	59
"65"	981	33	"nose_tip_x"	47
"66"	982	33	"nose_tip_y"	64
"67"	1011	34	"nose_tip_x"	47
"68"	1012	34	"nose_tip_y"	65
"69"	1041	35	"nose_tip_x"	47
"70"	1042	35	"nose_tip_y"	60
"71"	1071	36	"nose_tip_x"	48
"72"	1072	36	"nose_tip_y"	63
"73"	1101	37	"nose_tip_x"	48
"74"	1102	37	"nose_tip_y"	60
"75"	1131	38	"nose_tip_x"	48
"76"	1132	38	"nose_tip_y"	65
"77"	1161	39	"nose_tip_x"	50
"78"	1162	39	"nose_tip_y"	61
"79"	1191	40	"nose_tip_x"	45
"80"	1192	40	"nose_tip_y"	65
"81"	1221	41	"nose_tip_x"	47
"82"	1222	41	"nose_tip_y"	59
"83"	1251	42	"nose_tip_x"	49
"84"	1252	42	"nose_tip_y"	63
"85"	1281	43	"nose_tip_x"	46
"86"	1282	43	"nose_tip_y"	65
"87"	1311	44	"nose_tip_x"	49
"88"	1312	44	"nose_tip_y"	59
"89"	1341	45	"nose_tip_x"	47
"90"	1342	45	"nose_tip_y"	65
"91"	1371	46	"nose_tip_x"	45
"92"	1372	46	"nose_tip_y"	61
"93"	1401	47	"nose_tip_x"	48
"94"	1402	47	"nose_tip_y"	60
"95"	1431	48	"nose_tip_x"	51
"96"	1432	48	"nose_tip_y"	65
"97"	1461	49	"nose_tip_x"	47
"98"	1462	49	"nose_tip_y"	64
"99"	1491	50	"nose_tip_x"	47
"100"	1492	50	"nose_tip_y"	59
"101"	1521	51	"nose_tip_x"	49
"102"	1522	51	"nose_tip_y"	65
"103"	1551	52	"nose_tip_x"	48
"104"	1552	52	"nose_tip_y"	65
"105"	1581	53	"nose_tip_x"	48
"106"	1582	53	"nose_tip_y"	65
"107"	1611	54	"nose_tip_x"	45
"108"	1612	54	"nose_tip_y"	61
"109"	1641	55	"nose_tip_x"	47
"110"	1642	55	"nose_tip_y"	65
"111"	1671	56	"nose_tip_x"	49
"112"	1672	56	"nose_tip_y"	61
"113"	1701	57	"nose_tip_x"	47
"114"	1702	57	"nose_tip_y"	65
"115"	1731	58	"nose_tip_x"	50
"116"	1732	58	"nose_tip_y"	61
"117"	1761	59	"nose_tip_x"	50
"118"	1762	59	"nose_tip_y"	65
"119"	1791	60	"nose_tip_x"	45
"120"	1792	60	"nose_tip_y"	62
"121"	1821	61	"nose_tip_x"	51
"122"	1822	61	"nose_tip_y"	62
"123"	1851	62	"nose_tip_x"	46
"124"	1852	62	"nose_tip_y"	59
"125"	1879	63	"nose_tip_x"	50
"126"	1880	63	"nose_tip_y"	59
"127"	1909	64	"nose_tip_x"	47
"128"	1910	64	"nose_tip_y"	64
"129"	1939	65	"nose_tip_x"	48
"130"	1940	65	"nose_tip_y"	62
"131"	1969	66	"nose_tip_x"	49
"132"	1970	66	"nose_tip_y"	64
"133"	1999	67	"nose_tip_x"	45
"134"	2000	67	"nose_tip_y"	59
"135"	2029	68	"nose_tip_x"	48
"136"	2030	68	"nose_tip_y"	64
"137"	2059	69	"nose_tip_x"	51
"138"	2060	69	"nose_tip_y"	60
"139"	2089	70	"nose_tip_x"	48
"140"	2090	70	"nose_tip_y"	63
"141"	2119	71	"nose_tip_x"	51
"142"	2120	71	"nose_tip_y"	62
"143"	2149	72	"nose_tip_x"	45
"144"	2150	72	"nose_tip_y"	65
"145"	2179	73	"nose_tip_x"	46
"146"	2180	73	"nose_tip_y"	59
"147"	2209	74	"nose_tip_x"	48
"148"	2210	74	"nose_tip_y"	63
"149"	2239	75	"nose_tip_x"	50
"150"	2240	75	"nose_tip_y"	59
"151"	2269	76	"nose_tip_x"	51
"152"	2270	76	"nose_tip_y"	61
"153"	2299	77	"nose_tip_x"	45
"154"	2300	77	"nose_tip_y"	64
"155"	2329	78	"nose_tip_x"	49
"156"	2330	78	"nose_tip_y"	63
"157"	2359	79	"nose_tip_x"	49
"158"	2360	79	"nose_tip_y"	65
"159"	2389	80	"nose_tip_x"	51
"160"	2390	80	"nose_tip_y"	62
"161"	2419	81	"nose_tip_x"	50
"162"	2420	81	"nose_tip_y"	61
"163"	2449	82	"nose_tip_x"	49
"164"	2450	82	"nose_tip_y"	64
"165"	2479	83	"nose_tip_x"	47
"166"	2480	83	"nose_tip_y"	65
"167"	2509	84	"nose_tip_x"	47
"168"	2510	84	"nose_tip_y"	65
"169"	2539	85	"nose_tip_x"	50
"170"	2540	85	"nose_tip_y"	65
"171"	2569	86	"nose_tip_x"	50
"172"	2570	86	"nose_tip_y"	62
"173"	2599	87	"nose_tip_x"	49
"174"	2600	87	"nose_tip_y"	63
"175"	2629	88	"nose_tip_x"	48
"176"	2630	88	"nose_tip_y"	59
"177"	2659	89	"nose_tip_x"	48
"178"	2660	89	"nose_tip_y"	63
"179"	2689	90	"nose_tip_x"	49
"180"	2690	90	"nose_tip_y"	61
"181"	2719	91	"nose_tip_x"	48
"182"	2720	91	"nose_tip_y"	61
"183"	2749	92	"nose_tip_x"	51
"184"	2750	92	"nose_tip_y"	64
"185"	2779	93	"nose_tip_x"	50
"186"	2780	93	"nose_tip_y"	61
"187"	2809	94	"nose_tip_x"	48
"188"	2810	94	"nose_tip_y"	59
"189"	2839	95	"nose_tip_x"	50
"190"	2840	95	"nose_tip_y"	59
"191"	2869	96	"nose_tip_x"	48
"192"	2870	96	"nose_tip_y"	61
"193"	2899	97	"nose_tip_x"	47
"194"	2900	97	"nose_tip_y"	59
"195"	2929	98	"nose_tip_x"	48
"196"	2930	98	"nose_tip_y"	63
"197"	2959	99	"nose_tip_x"	45
"198"	2960	99	"nose_tip_y"	62
"199"	2989	100	"nose_tip_x"	50
"200"	2990	100	"nose_tip_y"	59
"201"	3019	101	"nose_tip_x"	48
"202"	3020	101	"nose_tip_y"	65
"203"	3049	102	"nose_tip_x"	47
"204"	3050	102	"nose_tip_y"	61
"205"	3079	103	"nose_tip_x"	48
"206"	3080	103	"nose_tip_y"	64
"207"	3109	104	"nose_tip_x"	50
"208"	3110	104	"nose_tip_y"	62
"209"	3139	105	"nose_tip_x"	47
"210"	3140	105	"nose_tip_y"	62
"211"	3169	106	"nose_tip_x"	45
"212"	3170	106	"nose_tip_y"	65
"213"	3199	107	"nose_tip_x"	47
"214"	3200	107	"nose_tip_y"	59
"215"	3229	108	"nose_tip_x"	48
"216"	3230	108	"nose_tip_y"	63
"217"	3259	109	"nose_tip_x"	50
"218"	3260	109	"nose_tip_y"	61
"219"	3289	110	"nose_tip_x"	46
"220"	3290	110	"nose_tip_y"	59
"221"	3319	111	"nose_tip_x"	51
"222"	3320	111	"nose_tip_y"	59
"223"	3349	112	"nose_tip_x"	50
"224"	3350	112	"nose_tip_y"	60
"225"	3379	113	"nose_tip_x"	47
"226"	3380	113	"nose_tip_y"	62
"227"	3409	114	"nose_tip_x"	51
"228"	3410	114	"nose_tip_y"	59
"229"	3439	115	"nose_tip_x"	48
"230"	3440	115	"nose_tip_y"	65
"231"	3469	116	"nose_tip_x"	48
"232"	3470	116	"nose_tip_y"	62
"233"	3499	117	"nose_tip_x"	45
"234"	3500	117	"nose_tip_y"	62
"235"	3529	118	"nose_tip_x"	49
"236"	3530	118	"nose_tip_y"	60
"237"	3559	119	"nose_tip_x"	45
"238"	3560	119	"nose_tip_y"	61
"239"	3589	120	"nose_tip_x"	48
"240"	3590	120	"nose_tip_y"	65
"241"	3619	121	"nose_tip_x"	48
"242"	3620	121	"nose_tip_y"	59
"243"	3649	122	"nose_tip_x"	48
"244"	3650	122	"nose_tip_y"	64
"245"	3679	123	"nose_tip_x"	46
"246"	3680	123	"nose_tip_y"	64
"247"	3709	124	"nose_tip_x"	45
"248"	3710	124	"nose_tip_y"	61
"249"	3739	125	"nose_tip_x"	50
"250"	3740	125	"nose_tip_y"	59
"251"	3769	126	"nose_tip_x"	48
"252"	3770	126	"nose_tip_y"	62
"253"	3799	127	"nose_tip_x"	45
"254"	3800	127	"nose_tip_y"	60
